# CSV-File created with merge-csv.com
# -----------------------------------------------------------

filename,x_from,y_from,width,height,sign_class
autosave21_01_2013_12_12_45_0.jpg,640,340,18,18,1_16
autosave21_01_2013_12_12_45_1.jpg,637,340,18,18,1_16
autosave21_01_2013_12_18_39_0.jpg,756,315,29,26,1_15
autosave21_01_2013_12_21_03_2.jpg,790,358,22,23,1_25
autosave21_01_2013_12_21_04_0.jpg,805,348,25,24,1_25
autosave21_01_2013_12_21_15_2.jpg,487,404,16,18,1_25
autosave21_01_2013_12_21_17_1.jpg,360,376,33,31,1_25
autosave21_01_2013_12_32_39_0.jpg,703,404,20,19,1_25
autosave21_01_2013_12_38_13_2.jpg,403,351,21,19,1_25
autosave21_01_2013_12_38_13_2.jpg,798,333,22,21,1_25
autosave21_01_2013_12_38_20_1.jpg,376,343,28,24,1_25
autosave21_01_2013_12_41_10_2.jpg,834,295,36,36,1_12_2
autosave21_01_2013_12_46_31_2.jpg,790,340,23,23,1_17
autosave21_01_2013_13_12_41_1.jpg,403,352,22,22,1_16
autosave21_01_2013_13_47_13_2.jpg,729,286,27,27,1_23
autosave21_01_2013_13_51_51_0.jpg,646,327,23,24,1_5
autosave21_01_2013_13_52_44_1.jpg,785,252,25,26,1_17
autosave21_01_2013_13_52_44_1.jpg,790,276,23,22,1_23
autosave21_01_2013_13_52_44_1.jpg,398,309,27,26,1_17
autosave21_01_2013_13_52_44_1.jpg,398,337,28,24,1_23
autosave21_01_2013_13_53_02_1.jpg,806,341,26,24,1_23
autosave21_01_2013_13_53_05_2.jpg,814,337,25,23,1_22
autosave23_10_2012_08_47_05_3.jpg,921,348,18,16,1_20_3
autosave23_10_2012_08_47_05_3.jpg,922,365,18,16,1_25
autosave23_10_2012_08_48_07_0.jpg,1148,315,32,30,1_20_3
autosave23_10_2012_08_48_07_0.jpg,1148,347,34,29,1_25
autosave23_10_2012_08_48_07_0.jpg,557,297,27,26,1_20_3
autosave23_10_2012_08_48_07_0.jpg,555,325,32,28,1_25
autosave23_10_2012_08_48_26_0.jpg,1007,328,21,20,1_5
autosave23_10_2012_08_49_48_0.jpg,1137,298,29,28,1_5
autosave23_10_2012_08_49_48_0.jpg,164,366,66,79,1_25
autosave23_10_2012_08_50_08_1.jpg,388,442,30,30,1_25
autosave23_10_2012_09_20_16_1.jpg,961,339,19,18,1_15
autosave23_10_2012_09_22_59_0.jpg,1049,343,19,16,1_15
autosave23_10_2012_09_24_41_1.jpg,795,333,25,23,2_3_2
autosave23_10_2012_09_28_33_1.jpg,962,322,34,28,2_3_2
autosave23_10_2012_09_29_45_2.jpg,946,366,24,23,2_3_2
autosave23_10_2012_09_32_22_2.jpg,908,349,29,28,2_3_2
autosave23_10_2012_09_37_26_2.jpg,894,373,23,23,2_3_2
autosave23_10_2012_09_38_31_1.jpg,931,360,23,24,1_16
autosave23_10_2012_09_42_16_1.jpg,895,381,21,18,1_8
autosave23_10_2012_09_43_12_1.jpg,892,341,30,30,1_16
autosave23_10_2012_09_43_28_1.jpg,832,378,22,20,1_27
autosave23_10_2012_09_44_30_1.jpg,761,355,17,17,2_3_2
autosave23_10_2012_09_44_30_2.jpg,771,352,19,18,2_3_2
autosave23_10_2012_09_44_30_2.jpg,772,371,18,17,1_22
autosave23_10_2012_09_46_47_0.jpg,703,368,21,20,1_22
autosave23_10_2012_09_47_10_2.jpg,756,375,20,21,1_22
autosave23_10_2012_09_47_13_0.jpg,971,290,73,65,1_22
autosave23_10_2012_09_47_13_0.jpg,765,371,21,19,1_8
autosave23_10_2012_09_47_14_3.jpg,892,320,51,46,1_8
autosave23_10_2012_09_47_14_3.jpg,756,368,18,19,1_20
autosave23_10_2012_09_47_17_2.jpg,970,270,67,60,1_20
autosave23_10_2012_09_47_31_2.jpg,811,378,23,22,1_27
autosave23_10_2012_09_48_44_1.jpg,818,364,25,23,2_3
autosave23_10_2012_09_49_10_1.jpg,821,383,17,16,2_3_2
autosave23_10_2012_09_49_14_3.jpg,904,350,19,19,1_8
autosave23_10_2012_09_50_24_2.jpg,837,365,21,23,2_3_2
autosave23_10_2012_09_50_50_0.jpg,847,347,20,19,2_3_2
autosave23_10_2012_09_50_50_0.jpg,847,368,22,20,1_22
autosave23_10_2012_09_51_18_0.jpg,808,368,22,20,1_22
autosave23_10_2012_09_51_20_1.jpg,847,356,19,20,2_3_2
autosave23_10_2012_09_52_04_1.jpg,792,338,23,21,1_22
autosave23_10_2012_09_53_52_3.jpg,851,363,17,18,1_8
autosave23_10_2012_09_55_22_2.jpg,779,379,18,16,1_8
autosave23_10_2012_09_57_59_0.jpg,796,358,23,21,1_22
autosave23_10_2012_09_58_09_2.jpg,889,321,37,25,1_14
