filename,x_from,y_from,width,height,sign_class
autosave01_02_2012_09_13_36.jpg,684,384,17,17,1_23
autosave01_02_2012_09_13_42.jpg,698,331,18,18,1_17
autosave01_02_2012_09_13_42.jpg,700,352,18,17,1_23
autosave01_02_2012_09_13_43.jpg,746,291,25,26,1_17
autosave01_02_2012_09_13_43.jpg,749,320,26,24,1_23
autosave01_02_2012_09_18_20.jpg,770,359,17,19,1_20_3
autosave01_02_2012_09_18_20.jpg,769,379,21,20,1_25
autosave01_02_2012_09_19_56.jpg,1025,349,30,24,1_33
autosave01_02_2012_09_20_37.jpg,773,378,18,20,1_15
autosave01_02_2012_09_26_06.jpg,601,387,17,16,1_19
autosave01_02_2012_09_29_12.jpg,704,365,28,25,1_15
autosave01_02_2012_09_29_19.jpg,878,317,35,34,1_16
autosave01_02_2012_09_29_37.jpg,849,323,46,42,1_11_1
autosave01_02_2012_09_30_33.jpg,821,368,22,20,1_19
autosave01_02_2012_09_40_19.jpg,835,364,29,27,1_23
autosave01_02_2012_09_40_24.jpg,715,389,17,17,1_23
autosave01_02_2012_09_40_36.jpg,833,373,23,23,1_16
autosave01_02_2012_09_44_43.jpg,1154,371,28,25,1_16
autosave01_02_2012_09_45_33.jpg,801,383,21,23,1_15
autosave01_02_2012_09_45_39.jpg,1015,330,43,36,1_22
autosave01_02_2012_09_45_43.jpg,788,376,21,21,1_27
autosave01_02_2012_09_45_51.jpg,1006,322,39,40,1_19
autosave01_02_2012_09_48_09.jpg,854,368,26,28,1_15
autosave01_02_2012_09_48_22.jpg,1048,314,54,52,2_3_2
autosave01_02_2012_09_48_36.jpg,825,369,23,24,2_3_2
autosave01_02_2012_09_48_52.jpg,770,362,23,23,2_3_2
autosave01_02_2012_09_49_00.jpg,965,325,43,41,1_22
autosave01_02_2012_09_50_10.jpg,877,346,35,33,1_8
autosave01_02_2012_09_52_08.jpg,776,353,36,36,2_3_2
autosave01_02_2012_09_53_18.jpg,865,350,32,33,2_3_2
autosave01_02_2012_09_53_26.jpg,851,347,29,30,1_8
autosave01_02_2012_09_56_05.jpg,718,351,28,28,1_22
autosave01_02_2012_09_56_21.jpg,682,359,25,24,1_8
autosave01_02_2012_09_59_24.jpg,713,353,26,28,1_17
autosave01_02_2012_10_02_32.jpg,794,350,31,30,1_11_1
autosave01_02_2012_10_09_31.jpg,824,310,57,54,2_3_2
autosave01_02_2012_10_10_24.jpg,1199,94,81,98,1_22
autosave01_02_2012_10_11_27.jpg,876,360,36,31,2_3
autosave01_02_2012_10_11_30.jpg,787,338,22,22,1_22
autosave01_02_2012_10_11_31.jpg,1079,204,61,49,1_22
autosave01_02_2012_10_12_08.jpg,1078,309,55,47,1_22
autosave01_02_2012_10_12_15.jpg,1058,259,52,46,2_3_3
